Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q2_Values:customer_phone1to1-17-27-%_Id:99,5975,25737.4,21828,21967,22103,22175,59041,59041
q2_Values:customer_phone1to1-21-31-%_Id:100,6008,23159.9,21532,21619,21846,22006,35116,35116
q2_Values:customer_phone1to1-2-12-%_Id:101,5999,25726.5,21439,21569,21860,22166,45859,45859
q3_Values:customer-1_Id:102,11001,43409.3,39515,39697,39735,40061,61607,61607
q3_Values:customer-5_Id:103,2201,35769.7,34425,34533,34650,34830,45889,45889
q3_Values:customer-10_Id:104,1101,39243.6,33811,33856,33977,34116,86616,86616
q3_Values:customer-50_Id:105,221,34882.8,32980,33204,33328,33448,49299,49299
q3_Values:customer-100_Id:106,111,34518.8,32959,33171,33323,33827,44576,44576
q3_Values:customer-250_Id:107,45,34233.3,32900,32942,32995,33124,45232,45232
q3_Values:customer-500_Id:108,23,34556.2,32593,32841,32956,33188,49160,49160
q3_Values:customer-1000_Id:109,12,33597.1,32770,32774,33029,33143,39379,39379
q3_Values:customer-10000_Id:110,2,34452.2,33177,33431,33519,33858,42936,42936
q3_Values:customer_acctbaluniform-1_Id:111,11001,43895.3,41503,41644,42734,43253,54923,54923
q3_Values:customer_acctbaluniform-5_Id:112,2201,37331.2,35384,35436,35543,35790,53145,53145
q3_Values:customer_acctbaluniform-10_Id:113,1101,35921.9,34488,34567,34719,34963,46348,46348
q3_Values:customer_acctbaluniform-50_Id:114,221,34724.9,33700,33839,33992,33998,42059,42059
q3_Values:customer_acctbaluniform-100_Id:115,111,34923.4,33464,33657,33848,34033,45042,45042
q3_Values:customer_acctbaluniform-250_Id:116,45,35317.2,33266,33314,33551,33677,51419,51419
q3_Values:customer_acctbaluniform-500_Id:117,23,35068.0,33374,33425,33452,33642,49158,49158
q3_Values:customer_acctbaluniform-1000_Id:118,12,34264.1,33291,33364,33469,33749,41297,41297
q3_Values:customer_acctbaluniform-10000_Id:119,2,34816.2,33782,33862,34014,34222,42076,42076
q3_Values:customer_acctbalzipf-1_Id:120,10912,43437.6,42211,42353,42610,42801,49708,49708
q3_Values:customer_acctbalzipf-5_Id:121,2201,36960.8,35950,36012,36143,36285,43978,43978
q3_Values:customer_acctbalzipf-10_Id:122,1101,36507.8,35269,35400,35684,35752,44979,44979
q3_Values:customer_acctbalzipf-50_Id:123,221,35503.1,34090,34117,34210,34502,46894,46894
q3_Values:customer_acctbalzipf-100_Id:124,111,34894.6,33852,34050,34094,34295,42027,42027
q3_Values:customer_acctbalzipf-250_Id:125,45,34707.4,33710,33781,34051,34338,41082,41082
q3_Values:customer_acctbalzipf-500_Id:126,23,34986.7,33838,33900,34142,34231,43242,43242
q3_Values:customer_acctbalzipf-1000_Id:127,12,35587.6,33727,33899,34011,34034,49809,49809
q3_Values:customer_acctbalzipf-10000_Id:128,2,35575.0,34280,34573,34743,35275,42772,42772
q3_Values:customer_acctbalBinomial-1_Id:129,386,36126.2,34516,34596,34737,34860,48655,48655
q3_Values:customer_acctbalBinomial-5_Id:130,86,36100.1,34096,34220,34362,34442,51501,51501
q3_Values:customer_acctbalBinomial-10_Id:131,43,35188.0,33896,33897,34157,34239,45351,45351
q3_Values:customer_acctbalBinomial-50_Id:132,10,35217.8,33850,33975,34129,34324,44347,44347
q3_Values:customer_acctbalBinomial-100_Id:133,6,35078.4,33980,34087,34264,34406,42710,42710
q3_Values:customer_acctbalBinomial-250_Id:134,2,35204.9,34042,34116,34350,34396,43600,43600
q3_Values:customer_acctbalBinomial-500_Id:135,2,35187.1,34086,34166,34268,34385,43651,43651
q3_Values:customer_acctbalBinomial-1000_Id:136,2,35037.3,34123,34166,34237,34449,42129,42129
q3_Values:customer_acctbalBinomial-10000_Id:137,1,35939.7,33860,33960,34034,34096,53245,53245
q3b_Values:customer-1-3000-5999_Id:138,3000,33289.0,31522,31682,32082,32178,40814,40814
q3b_Values:customer-5-3000-5999_Id:139,600,31872.6,30038,30121,30385,30668,45322,45322
q3b_Values:customer-10-3000-5999_Id:140,300,30745.1,29538,29592,29721,30005,39600,39600
q3b_Values:customer-50-3000-5999_Id:141,60,30103.8,29159,29234,29354,29535,37001,37001
q3b_Values:customer-100-3000-5999_Id:142,30,30227.5,29194,29308,29456,29542,37785,37785
q3b_Values:customer-250-3000-5999_Id:143,12,30423.9,29178,29308,29535,29837,38805,38805
q3b_Values:customer-500-3000-5999_Id:144,6,30281.5,28929,29066,29261,29456,39974,39974
q3b_Values:customer-1000-3000-5999_Id:145,3,30008.3,28979,29213,29283,29644,36097,36097
q3b_Values:customer-10000-3000-5999_Id:146,1,29806.5,28472,28568,29053,29103,38762,38762
q3b_Values:customer_acctbaluniform-1-3000-5999_Id:147,3000,33598.0,31669,31852,32146,32440,47381,47381
q3b_Values:customer_acctbaluniform-5-3000-5999_Id:148,600,31576.1,30313,30413,30614,30756,40674,40674
q3b_Values:customer_acctbaluniform-10-3000-5999_Id:149,300,31451.0,29978,30157,30313,30673,39262,39262
q3b_Values:customer_acctbaluniform-50-3000-5999_Id:150,60,31059.5,29889,29963,30134,30291,39159,39159
q3b_Values:customer_acctbaluniform-100-3000-5999_Id:151,30,31064.1,29642,29687,30149,30843,38846,38846
q3b_Values:customer_acctbaluniform-250-3000-5999_Id:152,12,30221.9,29257,29294,29521,29574,37334,37334
q3b_Values:customer_acctbaluniform-500-3000-5999_Id:153,6,30585.9,29360,29653,29873,30408,36877,36877
q3b_Values:customer_acctbaluniform-1000-3000-5999_Id:154,3,29999.0,28811,29003,29280,29455,37151,37151
q3b_Values:customer_acctbaluniform-10000-3000-5999_Id:155,1,29897.8,28952,28988,29147,29432,36395,36395
q3b_Values:customer_acctbalzipf-1-3000-5999_Id:156,2976,32913.4,31541,31699,32095,32383,40651,40651
q3b_Values:customer_acctbalzipf-5-3000-5999_Id:157,600,31439.6,30161,30278,30657,30797,39407,39407
q3b_Values:customer_acctbalzipf-10-3000-5999_Id:158,300,31829.3,29805,29817,29918,30012,49014,49014
q3b_Values:customer_acctbalzipf-50-3000-5999_Id:159,60,30204.1,29210,29260,29371,29409,37495,37495
q3b_Values:customer_acctbalzipf-100-3000-5999_Id:160,30,30536.3,29203,29293,29583,29936,39299,39299
q3b_Values:customer_acctbalzipf-250-3000-5999_Id:161,12,30643.0,29225,29335,29479,29558,41723,41723
q3b_Values:customer_acctbalzipf-500-3000-5999_Id:162,6,30139.7,29144,29222,29278,29883,36512,36512
q3b_Values:customer_acctbalzipf-1000-3000-5999_Id:163,3,30063.5,29116,29204,29394,29436,36552,36552
q3b_Values:customer_acctbalzipf-10000-3000-5999_Id:164,1,29795.8,28668,28832,29115,29174,36878,36878
q3b_Values:customer_acctbalBinomial-1-3000-5999_Id:165,386,40060.0,38962,39049,39246,39538,47426,47426
q3b_Values:customer_acctbalBinomial-5-3000-5999_Id:166,86,39319.0,38293,38452,38609,38815,45480,45480
q3b_Values:customer_acctbalBinomial-10-3000-5999_Id:167,43,39500.7,38258,38277,38791,39250,45559,45559
q3b_Values:customer_acctbalBinomial-50-3000-5999_Id:168,10,39646.6,37970,38278,38412,38608,50970,50970
q3b_Values:customer_acctbalBinomial-100-3000-5999_Id:169,6,39790.4,38489,38557,38758,38958,47223,47223
q3b_Values:customer_acctbalBinomial-250-3000-5999_Id:170,2,40279.0,38415,38485,38722,39126,53617,53617
q3b_Values:customer_acctbalBinomial-500-3000-5999_Id:171,2,39998.4,38469,38533,38827,39293,47279,47279
q3b_Values:customer_acctbalBinomial-1000-3000-5999_Id:172,2,40176.8,38406,38516,38712,39012,47726,47726
q3b_Values:customer_acctbalBinomial-10000-3000-5999_Id:173,1,39269.4,38218,38327,38449,38617,46885,46885
q4_Value:customer_Id:174,5,24791.8,23842,23899,24021,24336,31431,31431
q4_Value:customer_numericmktseg_Id:175,5,23196.7,21828,21965,22121,22157,33627,33627
q4_Value:customer_bloatedmktseg_Id:176,500,26474.6,25302,25383,25620,25814,34518,34518
q4_Value:customer_bloatednumericmktseg_Id:177,472,23644.2,22262,22427,22655,22756,33390,33390
q4_Value:customer_bloated2mktseg_Id:178,5000,34689.5,32261,32320,32397,32747,54803,54803
q4_Value:customer_bloated2numericmktseg_Id:179,4605,25659.7,24125,24189,24389,24600,37273,37273
q5_Values:customer-1_Id:180,78124,52607.7,49220,49272,49899,50149,76906,76906
q5_Values:customer-5_Id:181,4217,24895.0,23654,23693,23867,23898,31308,31308
q5_Values:customer-10_Id:182,1109,23487.4,22211,22341,22364,22682,30398,30398
q5_Values:customer-50_Id:183,62,22391.9,21311,21389,21458,21545,30796,30796
q5_Values:customer-100_Id:184,31,22187.6,21115,21275,21388,21470,29607,29607
q5_Values:customer-250_Id:185,13,22306.7,21240,21324,21500,21639,29854,29854
q5_Values:customer-500_Id:186,7,22440.2,21353,21390,21492,21552,31149,31149
q5_Values:customer_uncorrelated-1_Id:187,139367,66664.0,65087,65203,65418,67228,74937,74937
q5_Values:customer_uncorrelated-5_Id:188,39290,37163.7,36093,36234,36458,36519,43692,43692
q5_Values:customer_uncorrelated-10_Id:189,10152,28160.3,26446,26506,26699,27002,38743,38743
q5_Values:customer_uncorrelated-50_Id:190,441,23410.1,22404,22477,22586,22801,30803,30803
q5_Values:customer_uncorrelated-100_Id:191,121,22669.6,21628,21729,21872,21903,30413,30413
q5_Values:customer_uncorrelated-250_Id:192,25,22796.8,21368,21462,21689,21886,33177,33177
