Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q1_Values:customer_nationkeyBinomial3-5_Id:84,293353,493382.9,489430,491085,493154,494142,501496,501496
q1_Values:customer_nationkeyBinomial3-7_Id:85,166005,268093.8,264088,265997,267483,268609,275051,275051
q1_Values:customer_nationkeyBinomial3-12_Id:86,1833,29240.2,28409,28556,28926,29825,31400,31400
q1_Values:customer_nationkeyBinomial3-15_Id:87,19,29133.6,27813,27920,28141,28396,38513,38513
q1_Values:customer_nationkeyBinomial3-20_Id:88,0,29089.6,28089,28246,28937,29155,31647,31647
q1_Values:customer_nationkeyBinomial3-23_Id:89,0,28193.7,28013,28051,28121,28280,28685,28685
q2_Values:customer-24-34-%_Id:90,60006,76679.7,68358,73443,76431,80197,82181,82181
q2_Values:customer-17-27-%_Id:91,59788,73317.7,65991,69045,74109,77455,80894,80894
q2_Values:customer-21-31-%_Id:92,59997,75745.5,64981,74759,76899,78679,80307,80307
q2_Values:customer-2-12-%_Id:93,59952,78476.8,71553,74744,79633,80800,83897,83897
q2_Values:customer_phoneuniform-24-34-%_Id:94,2403,37890.8,36668,36952,37919,38452,40328,40328
q2_Values:customer_phoneuniform-17-27-%_Id:95,2518,37907.9,37412,37487,37666,38499,38736,38736
q2_Values:customer_phoneuniform-21-31-%_Id:96,2487,38103.1,36768,37110,38046,38525,41655,41655
q2_Values:customer_phoneuniform-2-12-%_Id:97,2567,37600.3,36825,37156,37605,38164,38633,38633
q2_Values:customer_phone1to1-24-34-%_Id:98,60006,77065.2,67398,72508,77937,81385,83439,83439
q2_Values:customer_phone1to1-17-27-%_Id:99,59788,70924.7,58889,69671,71899,74179,76977,76977
q2_Values:customer_phone1to1-21-31-%_Id:100,59997,75386.4,64329,70820,77610,79953,82099,82099
q2_Values:customer_phone1to1-2-12-%_Id:101,59952,78269.2,73754,76122,77248,80434,83891,83891
q3_Values:customer-1_Id:102,11001,77832.2,77169,77519,77926,78029,78399,78399
q3_Values:customer-5_Id:103,2201,69336.9,69043,69138,69267,69578,69766,69766
q3_Values:customer-10_Id:104,1101,68227.8,67748,67867,68051,68536,69382,69382
q3_Values:customer-50_Id:105,221,66670.1,66208,66288,66527,66826,68365,68365
q3_Values:customer-100_Id:106,111,66377.4,66103,66124,66378,66499,67113,67113
q3_Values:customer-250_Id:107,45,66299.5,65919,66154,66204,66314,67350,67350
q3_Values:customer-500_Id:108,23,66495.8,65961,66174,66358,66632,67835,67835
q3_Values:customer-1000_Id:109,12,66938.4,66087,66457,66671,66991,69658,69658
q3_Values:customer-10000_Id:110,2,66347.6,65924,66033,66205,66858,67128,67128
q3_Values:customer_acctbaluniform-1_Id:111,11001,83128.6,81708,81843,83239,84137,86593,86593
q3_Values:customer_acctbaluniform-5_Id:112,2201,71398.2,70610,70737,71408,71477,73526,73526
q3_Values:customer_acctbaluniform-10_Id:113,1101,70828.5,69512,69676,70170,71273,75452,75452
