q1_Values:customer_nationkeyZipfWorstcase-5_Id:54,99172,100525,102830,103060,102166,100338,100448,100867,101915,100502
q1_Values:customer_nationkeyZipfWorstcase-7_Id:55,67701,72268,70861,68435,70518,70832,68426,70744,72226,71134
q1_Values:customer_nationkeyZipfWorstcase-12_Id:56,43178,43112,43042,41704,43011,41246,41963,41436,41884,41975
q1_Values:customer_nationkeyZipfWorstcase-15_Id:57,41218,44696,41095,41587,41389,40859,40469,40621,39974,38842
q1_Values:customer_nationkeyZipfWorstcase-20_Id:58,38914,40049,39145,38993,38647,39573,38663,38299,39713,38678
q1_Values:customer_nationkeyZipfWorstcase-23_Id:59,39440,38294,37428,37131,36825,36167,36381,38119,37127,37175
q1_Values:customer_nationkeyBinomial-1_Id:60,28674,28429,28796,28372,28354,29814,28172,28531,28611,28500
q1_Values:customer_nationkeyBinomial-2_Id:61,29380,28544,28258,28195,28516,29405,30807,29025,28159,28086
q1_Values:customer_nationkeyBinomial-3_Id:62,28444,28350,28207,28862,28295,28193,28038,28836,27901,27896
q1_Values:customer_nationkeyBinomial-4_Id:63,30541,28313,28239,28080,27987,27855,27980,27988,27942,28072
q1_Values:customer_nationkeyBinomial-5_Id:64,29443,29019,28799,28853,28905,29496,31405,28553,28892,28523
q1_Values:customer_nationkeyBinomial-7_Id:65,40147,40000,39591,40039,39650,40012,39064,40278,39437,40471
q1_Values:customer_nationkeyBinomial-12_Id:66,388162,388752,381453,383085,378408,382759,379535,377222,384863,383933
q1_Values:customer_nationkeyBinomial-15_Id:67,232126,232709,234802,231904,234117,234787,232930,230435,235890,235716
q1_Values:customer_nationkeyBinomial-20_Id:68,30095,29780,30531,28993,29968,29575,30816,29604,29883,29125
q1_Values:customer_nationkeyBinomial-23_Id:69,28746,28361,31788,28264,27963,27853,28171,28296,28116,28249
q1_Values:customer_nationkeyBinomial2-1_Id:70,28995,28485,28529,28550,28390,28325,28254,28327,28534,28233
q1_Values:customer_nationkeyBinomial2-2_Id:71,29438,28640,28550,28337,28389,28380,28560,28432,28772,28776
q1_Values:customer_nationkeyBinomial2-3_Id:72,30027,28777,28736,28299,29028,30000,28626,28995,29482,28675
q1_Values:customer_nationkeyBinomial2-4_Id:73,28907,28769,28179,28301,28375,28678,28448,28471,28931,28846
q1_Values:customer_nationkeyBinomial2-5_Id:74,29353,28958,28954,28720,28977,28617,28887,30186,28507,28675
q1_Values:customer_nationkeyBinomial2-7_Id:75,29195,28573,28538,28492,28990,28466,28798,28286,28989,28673
q1_Values:customer_nationkeyBinomial2-12_Id:76,32327,28399,28478,28217,28508,28283,28531,28348,28174,28201
q1_Values:customer_nationkeyBinomial2-15_Id:77,38869,39806,38268,39385,39479,38811,38990,47512,41052,39574
q1_Values:customer_nationkeyBinomial2-20_Id:78,499777,489855,490515,478575,487272,490577,494220,486739,490030,490518
q1_Values:customer_nationkeyBinomial2-23_Id:79,173204,173152,170720,171743,170076,172707,171532,172107,167515,169386
q1_Values:customer_nationkeyBinomial3-1_Id:80,45983,45346,43799,44046,45615,44528,42504,42644,43306,44226
